test,city,association,vintage,bin,n,median_depth,median_implied,vintage_median_depth,p68_abs_resid
T1,bend,per-pano,2019,<= -0.40,13,1.871,2.393,2.342,
T1,bend,per-pano,2019,"(-0.40, -0.15]",41,2.114,2.486,2.342,
T1,bend,per-pano,2019,"(-0.15, +0.15)",301,2.371,2.476,2.342,
T1,bend,per-pano,2019,"[+0.15, +0.40)",3,2.494,2.291,2.342,
T1,bend,per-pano,2019,>= +0.40,0,,,2.342,
T1,bend,per-pano,2024,<= -0.40,149,1.896,2.429,2.373,
T1,bend,per-pano,2024,"(-0.40, -0.15]",652,2.175,2.441,2.373,
T1,bend,per-pano,2024,"(-0.15, +0.15)",14871,2.376,2.489,2.373,
T1,bend,per-pano,2024,"[+0.15, +0.40)",1,2.53,2.513,2.373,
T1,bend,per-pano,2024,>= +0.40,0,,,2.373,
T1,bend,per-pano,2025,<= -0.40,0,,,2.352,
T1,bend,per-pano,2025,"(-0.40, -0.15]",10,2.168,2.553,2.352,
T1,bend,per-pano,2025,"(-0.15, +0.15)",492,2.375,2.48,2.352,
T1,bend,per-pano,2025,"[+0.15, +0.40)",1,2.511,2.376,2.352,
T1,bend,per-pano,2025,>= +0.40,0,,,2.352,
T1,bend,2.3,2019,<= -0.40,15,1.893,2.526,2.342,
T1,bend,2.3,2019,"(-0.40, -0.15]",42,2.107,2.541,2.342,
T1,bend,2.3,2019,"(-0.15, +0.15)",301,2.372,2.476,2.342,
T1,bend,2.3,2019,"[+0.15, +0.40)",3,2.494,2.291,2.342,
T1,bend,2.3,2019,>= +0.40,0,,,2.342,
T1,bend,2.3,2024,<= -0.40,167,1.887,2.495,2.373,
T1,bend,2.3,2024,"(-0.40, -0.15]",660,2.173,2.468,2.373,
T1,bend,2.3,2024,"(-0.15, +0.15)",14847,2.376,2.484,2.373,
T1,bend,2.3,2024,"[+0.15, +0.40)",1,2.53,2.513,2.373,
T1,bend,2.3,2024,>= +0.40,0,,,2.373,
T1,bend,2.3,2025,<= -0.40,0,,,2.352,
T1,bend,2.3,2025,"(-0.40, -0.15]",10,2.168,2.601,2.352,
T1,bend,2.3,2025,"(-0.15, +0.15)",492,2.375,2.465,2.352,
T1,bend,2.3,2025,"[+0.15, +0.40)",1,2.511,2.376,2.352,
T1,bend,2.3,2025,>= +0.40,0,,,2.352,
T4,bend,per-pano,all,Q1 0.000-0.065,4216,,,,0.2203
T4,bend,2.3,all,Q1 0.000-0.064,4217,,,,0.2265
T4,bend,per-pano,all,Q2 0.065-0.116,4217,,,,0.2224
T4,bend,2.3,all,Q2 0.064-0.116,4218,,,,0.2231
T4,bend,per-pano,all,Q3 0.116-0.175,4216,,,,0.227
T4,bend,2.3,all,Q3 0.116-0.175,4217,,,,0.2277
T4,bend,per-pano,all,Q4 0.175-1.300,4217,,,,0.2426
T4,bend,2.3,all,Q4 0.175-1.300,4218,,,,0.2442
T1,paterson,per-pano,2018,<= -0.40,7,1.885,2.436,2.348,
T1,paterson,per-pano,2018,"(-0.40, -0.15]",41,2.074,2.496,2.348,
T1,paterson,per-pano,2018,"(-0.15, +0.15)",404,2.366,2.517,2.348,
T1,paterson,per-pano,2018,"[+0.15, +0.40)",0,,,2.348,
T1,paterson,per-pano,2018,>= +0.40,0,,,2.348,
T1,paterson,per-pano,2019,<= -0.40,1,1.88,2.301,2.373,
T1,paterson,per-pano,2019,"(-0.40, -0.15]",28,2.186,2.359,2.373,
T1,paterson,per-pano,2019,"(-0.15, +0.15)",415,2.393,2.522,2.373,
T1,paterson,per-pano,2019,"[+0.15, +0.40)",0,,,2.373,
T1,paterson,per-pano,2019,>= +0.40,0,,,2.373,
T1,paterson,per-pano,2020,<= -0.40,9,1.818,2.384,2.349,
T1,paterson,per-pano,2020,"(-0.40, -0.15]",66,2.141,2.476,2.349,
T1,paterson,per-pano,2020,"(-0.15, +0.15)",853,2.358,2.486,2.349,
T1,paterson,per-pano,2020,"[+0.15, +0.40)",1,2.499,2.584,2.349,
T1,paterson,per-pano,2020,>= +0.40,0,,,2.349,
T1,paterson,per-pano,2021,<= -0.40,8,1.89,2.371,2.347,
T1,paterson,per-pano,2021,"(-0.40, -0.15]",33,2.158,2.481,2.347,
T1,paterson,per-pano,2021,"(-0.15, +0.15)",533,2.364,2.493,2.347,
T1,paterson,per-pano,2021,"[+0.15, +0.40)",1,2.497,2.645,2.347,
T1,paterson,per-pano,2021,>= +0.40,0,,,2.347,
T1,paterson,per-pano,2024,<= -0.40,24,1.893,2.278,2.374,
T1,paterson,per-pano,2024,"(-0.40, -0.15]",186,2.159,2.495,2.374,
T1,paterson,per-pano,2024,"(-0.15, +0.15)",2306,2.387,2.539,2.374,
T1,paterson,per-pano,2024,"[+0.15, +0.40)",0,,,2.374,
T1,paterson,per-pano,2024,>= +0.40,0,,,2.374,
T1,paterson,per-pano,2025,<= -0.40,47,1.366,1.775,1.862,
